# TITAN 3C TRANSTAGE DEB (43453), e: 0.0991889, p: 29907.5, a: 37898.4
# FREGAT DEB (45635), e: 0.199661, p: 474.246, a: 3893.18
# DELTA 2 R/B (40060), e: 0.306813, p: 2379.3, a: 10131.6
# ATLAS 5 CENTAUR DEB (44008), e: 0.397373, p: 10702.9, a: 33229.3
# ATLAS 5 CENTAUR DEB (43955), e: 0.499773, p: 7237.65, a: 34444.5
# FALCON 9 R/B (44869), e: 0.60021, p: 280.274, a: 20273
# BREEZE-M DEB (TANK) (40260), e: 0.699996, p: 955.296, a: 35177.3
# BREEZE-M R/B (41582), e: 0.801434, p: 1368.97, a: 63905.1
# MMS 1 (40482), e: 0.862811, p: 6958.97, a: 174719
Index	 0.1	 0.2	 0.3	 0.4	 0.5	 0.6	 0.7	 0.8	 0.9
168	1.0322	0.130781	0.803394	0.334915	1.27542	1.91777	0.649814	0.227233	1.03953	168
169	1.03236	0.108866	0.803918	0.356818	1.27564	1.89104	0.651407	0.226568	1.04186	169
170	1.03225	0.0857624	0.804427	0.377239	1.27587	1.86575	0.662129	0.225906	1.04418	170
171	1.03228	0.0613707	0.803995	0.396277	1.2761	1.84183	0.663756	0.225263	1.04647	171
172	1.03244	0.0355814	0.804473	0.414116	1.27634	1.81956	0.66538	0.224596	1.04875	172
173	1.03234	0.00827685	0.804936	0.430892	1.27658	1.79798	0.667003	0.223946	1.051	173
174	1.03237	0.0207214	0.805385	0.446669	1.27682	1.77868	0.668624	0.2233	1.05324	174
175	1.03241	0.0514722	0.806284	0.461535	1.27708	1.76027	0.670242	0.222658	1.05545	175
176	1.03258	0.0842356	0.807174	0.475567	1.27733	1.7425	0.671858	0.222032	1.05764	176
177	1.03248	0.119182	0.807583	0.488833	1.2776	1.72338	0.673471	0.221422	1.05961	177
178	1.03252	0.156534	0.807978	0.501394	1.27786	1.71179	0.675082	0.220755	1.0617	178
179	1.0327	0.196548	0.808361	0.513306	1.27814	1.69739	0.676691	0.220129	1.06383	179
180	1.03275	0.243643	0.80873	0.524737	1.27383	1.68468	0.717608	0.219506	1.06592	180
181	1.03266	0.286169	0.809087	0.535495	1.27433	1.67276	0.679835	0.218887	1.068	181
182	1.03271	0.336184	0.809431	0.545738	1.27901	1.66148	0.681433	0.218282	1.07005	182
183	1.03288	0.389828	0.809763	0.5555	1.27931	1.65166	0.683027	0.21766	1.07207	183
184	1.03281	0.448593	0.810083	0.564815	1.27962	1.64261	0.684618	0.217052	1.07407	184
185	1.03286	0.512665	0.81039	0.573714	1.27994	1.63423	0.686206	0.216448	1.07604	185
186	1.03292	0.582792	0.810686	0.582222	1.28027	1.6271	0.687791	0.215848	1.07798	186
187	1.0331	0.659871	0.81097	0.590366	1.2806	1.62073	0.689372	0.21526	1.0799	187
188	1.03304	0.745411	0.811243	0.598167	1.28094	1.61518	0.69095	0.214684	1.08178	188
189	1.0331	0.840581	0.811504	0.605647	1.2813	1.61053	0.692525	0.214069	1.08364	189
190	1.03329	0.944917	0.811755	0.612826	1.28166	1.6067	0.694096	0.213483	1.08571	190
191	1.03337	1.06338	0.811994	0.61972	1.28203	1.60371	0.695663	0.212901	1.0875	191
192	1.03331	1.19742	0.812222	0.626346	1.28241	1.60145	0.697227	0.212322	1.08927	192
193	1.03338	1.3503	0.811492	0.632719	1.2828	1.60021	0.698787	0.211754	1.091	193
194	1.03357	1.52627	0.811699	0.638853	1.2832	1.59973	0.700343	0.211175	1.0927	194
195	1.03353	1.73197	0.811895	0.644658	1.28361	1.6	0.701895	0.210607	1.09436	195
196	1.03361	1.97472	0.812082	0.650278	1.28403	1.60117	0.703443	0.210043	1.09599	196
197	1.0337	2.26014	0.812258	0.655765	1.28447	1.60303	0.704987	0.209482	1.09759	197
198	1.03389	2.61032	0.812897	0.66106	1.28491	1.60573	0.706526	0.208924	1.09914	198
199	1.03387	3.04498	0.81353	0.666171	1.28537	1.60938	0.708061	0.208376	1.10048	199
200	1.03396	3.59866	0.813677	0.671108	1.28584	1.6136	0.709592	0.207819	1.10192	200
201	1.03417	4.32745	0.813815	0.675879	1.28185	1.6187	0.711118	0.207272	1.10336	201
202	1.03427	5.32875	0.813943	0.680492	1.28236	1.62486	0.712639	0.206728	1.10477	202
203	1.03425	6.79071	0.814061	0.685153	1.28307	1.63145	0.714156	0.206187	1.10613	203
204	1.03436	9.10528	0.814171	0.689474	1.28785	1.63898	0.715668	0.205654	1.10745	204
205	1.03457	13.2197	0.814271	0.693658	1.28838	1.64768	0.717174	0.205127	1.10873	205
206	1.03457	22.0354	0.814363	0.69771	1.28893	1.6567	0.718676	0.204584	1.10996	206
207	1.03468	38.8419	0.814446	0.701636	1.2895	1.66674	0.720173	0.204057	1.11115	207
208	1.0348	29.3322	0.81452	0.705442	1.29008	1.67778	0.721664	0.203532	1.11229	208
209	1.03502	17.5455	0.814586	0.709132	1.29067	1.69165	0.72315	0.20301	1.11338	209
210	1.03504	12.2593	0.814643	0.712711	1.29128	1.70207	0.72463	0.202494	1.11443	210
211	1.03517	9.46925	0.814691	0.716184	1.29191	1.71574	0.726105	0.201976	1.11542	211
212	1.0354	7.75526	0.814732	0.719554	1.29256	1.73016	0.727574	0.201464	1.11637	212
213	1.03554	6.61715	0.814764	0.722826	1.29322	1.74613	0.729038	0.200955	1.11746	213
214	1.03557	5.80421	0.814789	0.726003	1.2939	1.76213	0.730495	0.200448	1.1183	214
