ID	Name	Eccentricity	Perigee	Res_100	Res_200	Res_300	Res_400	Res_500	Res_600	Res_700	Res_800	Res_900	Res_1000
416	THOR ABLESTAR DEB	0.007548	794.94	3.47764	0.869467	0.386435	0.217371	0.139118	0.0966095	0.0709788	0.0543429	0.0429376	0.0347802
417	THOR ABLESTAR DEB	0.006823	783.658	3.46486	0.866275	0.385016	0.216572	0.138606	0.0962548	0.0707182	0.0541436	0.0427803	0.0346526
420	THOR ABLESTAR DEB	0.0091591	728.118	3.45795	0.864546	0.384247	0.21614	0.13833	0.0960626	0.070577	0.0540358	0.0426949	0.0345831
424	ALOUETTE 1 (S-27)	0.0023393	982.572	3.51065	0.87772	0.390103	0.219433	0.140438	0.0975265	0.0716526	0.0548591	0.0433454	0.03511
426	THOR AGENA B R/B	0.0018416	988.679	3.50747	0.876922	0.389748	0.219235	0.140311	0.0974381	0.0715873	0.0548093	0.0433065	0.0350779
446	ANNA 1B	0.0070224	1074.9	3.61005	0.902572	0.401148	0.225647	0.144414	0.100288	0.073681	0.0564122	0.0445729	0.0361041
447	THOR ABLESTAR R/B	0.0065674	1064.3	3.59579	0.899007	0.399564	0.224756	0.143845	0.0998919	0.0733901	0.0561894	0.0443967	0.0359618
461	THOR ABLESTAR DEB	0.0047874	658.302	3.38322	0.845865	0.375944	0.21147	0.135341	0.0939872	0.0690517	0.0528677	0.0417727	0.033836
463	THOR ABLESTAR DEB	0.0063913	700.002	3.40353	0.850935	0.378198	0.212738	0.136152	0.0945503	0.069466	0.0531852	0.0420227	0.0340384
465	THOR ABLESTAR DEB	0.002812	762.79	3.4114	0.852904	0.379073	0.21323	0.136468	0.0947696	0.0696267	0.0533081	0.0421201	0.0341177
467	THOR ABLESTAR DEB	0.0253844	882.866	3.71686	0.929288	0.413023	0.232326	0.14869	0.103257	0.0758622	0.0580819	0.0458921	0.0371729
469	THOR ABLESTAR DEB	0.0065656	746.807	3.44086	0.860275	0.38235	0.215072	0.137647	0.0955881	0.0702283	0.0537686	0.0424845	0.034412
470	THOR ABLESTAR DEB	0.0064992	826.129	3.4822	0.87061	0.386943	0.217657	0.139301	0.0967373	0.0710725	0.0544152	0.0429946	0.0348259
474	THOR ABLESTAR DEB	0.0022873	612.648	3.33601	0.834058	0.370697	0.208518	0.133452	0.0926748	0.0680882	0.0521296	0.0411889	0.033363
475	THOR ABLESTAR DEB	0.0153414	743.663	3.5332	0.88337	0.392614	0.220847	0.141342	0.0981546	0.0721137	0.0552123	0.0436243	0.0353361
478	THOR ABLESTAR DEB	0.0044647	666.59	3.38198	0.84555	0.375805	0.211391	0.135291	0.0939519	0.0690262	0.0528488	0.0417566	0.0338231
479	THOR ABLESTAR DEB	0.0015185	565.495	3.29627	0.824121	0.366281	0.206034	0.131862	0.0915713	0.0672768	0.051509	0.0406984	0.0329661
480	THOR ABLESTAR DEB	0.0097035	709.405	3.44258	0.860706	0.382541	0.21518	0.137716	0.0956364	0.0702635	0.0537956	0.0425056	0.0344293
506	EXPLORER 16	0.027834	742.13	3.67462	0.918722	0.408327	0.229685	0.146999	0.102083	0.075	0.0574218	0.0453706	0.0367504
510	THOR AGENA B DEB	0.0015859	986.055	3.50497	0.876299	0.389472	0.219079	0.140211	0.097369	0.0715365	0.0547705	0.0432759	0.0350538
511	THOR AGENA B DEB	0.0031155	980.161	3.51352	0.878439	0.390422	0.219613	0.140553	0.0976067	0.0717113	0.0549039	0.043381	0.0351384
516	THOR ABLESTAR DEB	0.0073624	868.601	3.50876	0.877249	0.389893	0.219316	0.140362	0.0974739	0.0716142	0.0548291	0.0433218	0.0350912
530	THOR ABLESTAR DEB	0.0073888	844.197	3.49795	0.874549	0.388694	0.218642	0.139931	0.0971744	0.0713934	0.0546609	0.0431889	0.0349833
537	THOR ABLESTAR DEB	0.0180997	889.533	3.62206	0.905574	0.402483	0.226398	0.144895	0.100622	0.0739264	0.0565998	0.0447216	0.0362243
538	THOR ABLESTAR DEB	0.0012238	729.016	3.37921	0.844855	0.375497	0.211217	0.135179	0.0938749	0.0689695	0.0528045	0.0417231	0.0337952
541	THOR ABLESTAR DEB	0.0082059	884.898	3.51886	0.879777	0.391017	0.219948	0.140767	0.0977556	0.0718202	0.0549878	0.0434474	0.0351922
543	THOR ABLESTAR DEB	0.0063609	957.273	3.54325	0.88587	0.393725	0.221472	0.141742	0.0984326	0.0723178	0.0553684	0.043748	0.035436
544	THOR ABLESTAR DEB	0.018139	918.219	3.65083	0.912777	0.405684	0.228199	0.146048	0.101422	0.0745143	0.0570502	0.0450764	0.0365123
545	THOR ABLESTAR DEB	0.0157792	884.863	3.60955	0.902449	0.401095	0.225617	0.144395	0.100274	0.0736717	0.0564048	0.0445668	0.0360995
548	THOR ABLESTAR DEB	0.0111654	597.698	3.4194	0.854907	0.379963	0.21373	0.136788	0.0949916	0.0697901	0.0534334	0.0422186	0.0341977
549	THOR ABLESTAR DEB	0.0208923	966.719	3.70655	0.926712	0.411878	0.231682	0.148277	0.102971	0.075652	0.0579214	0.0457651	0.0370695
552	THOR ABLESTAR DEB	0.0105916	842.023	3.5168	0.879259	0.390787	0.219819	0.140685	0.0976978	0.0717785	0.0549551	0.043422	0.0351713
558	THOR ABLESTAR DEB	0.0469027	956.032	4.01535	1.00391	0.446193	0.250986	0.160631	0.11155	0.0819553	0.0627469	0.0495781	0.0401584
559	THOR ABLESTAR DEB	0.0060747	697.377	3.41381	0.853507	0.379342	0.213381	0.136564	0.0948365	0.0696758	0.053346	0.0421499	0.0341418
560	THOR ABLESTAR DEB	0.0321163	829.069	3.75113	0.937847	0.416829	0.234468	0.15006	0.104209	0.0765614	0.0586176	0.0463152	0.0375156
561	THOR ABLESTAR DEB	0.0630611	1007.11	4.25609	1.06413	0.472952	0.266037	0.170265	0.11824	0.0868703	0.0665098	0.0525515	0.0425667
614	HITCH HIKER 1	0.0535759	297.618	3.72549	0.931472	0.413994	0.232872	0.149039	0.1035	0.0760406	0.0582192	0.0460001	0.0372603
643	THOR ABLESTAR DEB	0.0342227	885.625	3.82227	0.955652	0.424741	0.238919	0.152908	0.106186	0.0780147	0.0597306	0.0471943	0.0382274
644	THOR ABLESTAR DEB	0.0148104	931.186	3.62257	0.905704	0.40254	0.22643	0.144916	0.100636	0.0739367	0.0566081	0.0447275	0.036229
645	THOR ABLESTAR DEB	0.0406906	936.265	3.92627	0.981669	0.436305	0.245423	0.157071	0.109077	0.0801389	0.0613563	0.0484792	0.0392685
648	THOR ABLESTAR DEB	0.0194314	900.492	3.65651	0.9142	0.406317	0.228555	0.146276	0.10158	0.0746309	0.0571389	0.0451472	0.0365695
649	THOR ABLESTAR DEB	0.0566201	962.178	4.12966	1.03249	0.458898	0.258131	0.165205	0.114725	0.0842883	0.0645337	0.0509895	0.0413022
652	THOR ABLESTAR DEB	0.0089403	794.895	3.47622	0.869112	0.386277	0.217282	0.139061	0.0965703	0.0709494	0.054321	0.0429203	0.0347658
653	THOR ABLESTAR DEB	0.0158396	894.509	3.61447	0.903682	0.401641	0.225925	0.144592	0.100412	0.0737722	0.056482	0.044628	0.0361489
655	THOR ABLESTAR DEB	0.0364962	952.485	3.88198	0.970562	0.43137	0.242647	0.155295	0.107844	0.0792325	0.0606627	0.047931	0.0388241
656	THOR ABLESTAR DEB	0.0684282	856.219	4.23462	1.05881	0.470595	0.264712	0.169417	0.117651	0.0864376	0.066179	0.0522897	0.0423548
657	THOR ABLESTAR DEB	0.0339139	959.872	3.84028	0.96014	0.426736	0.24004	0.153626	0.106685	0.0783815	0.0600107	0.0474156	0.0384072
658	THOR ABLESTAR DEB	0.0359447	846.945	3.82235	0.955655	0.424744	0.23892	0.152909	0.106187	0.0780151	0.0597306	0.0471944	0.0382278
